record_id,type_id,char_id,value,confidence,articulation,source_ref,source_lang,coder,notes
CP-0001,averia_pool,MB1,territorial-subject,high,.NR,Hierro Anibarro 2005,es,ai,"every shipper on the Carrera de Indias, by virtue of trading under the licence — membership follows the route, not kinship or occupation"
CP-0002,averia_pool,MB2,0,medium,.NR,Hierro Anibarro 2005,es,ai,no numerical restriction: the levy fell on all cargo
CP-0003,averia_pool,MB3,compulsory,high,articulated,Hierro Anibarro 2005,es,ai,"THE DISCRIMINATING CELL of this census so far. Alone among the instruments in the comparative frame, this pool is compulsory. It poses the framework a question rather than illustrating it: if pooling raises each participant's time-average growth rate, why must it be enforced, and why did merchants defect? The available answer is that convoy protection is non-excludable, so private and pooled optima diverge - but it has to be given, not assumed."
CP-0004,averia_pool,CN1,ex-ante-periodic,high,.NR,Hierro Anibarro 2005,es,ai,"an ad valorem levy raised on cargo as it shipped, not an assessment after loss"
CP-0005,averia_pool,CN2,proportional-to-stake,high,.NR,Hierro Anibarro 2005,es,ai,ad valorem: contribution scaled to the value shipped
CP-0006,averia_pool,CN3,1,high,.NR,Hierro Anibarro 2005,es,ai,"a crown levy, collected through the Casa de la Contratación"
CP-0007,averia_pool,HZ1,covariate,medium,.NR,[verify],.NR,ai,"enemy action against a convoy strikes the whole fleet at once, so losses are correlated across contributors rather than independent - which makes this pooling synchronising rather than diversifying, and bears directly on why the pool failed"
CP-0008,averia_pool,HZ2,1,low,.NR,[verify],.NR,ai,"THE UNUSUAL FEATURE. The hazard is an adversary who responds to the defence mounted, not a storm indifferent to it. Where this sits on the determinate-contingent typology is flagged in the vault as better asked than assumed, hence low confidence."
CP-0009,averia_pool,PY1,.NA,.NA,.NA,.NA,.NA,ai,"inapplicable: PY0 is collective-good. Originally coded realised-loss, which forced the characteristic to describe a distribution that never happens - the levy funded an armed escort, not an indemnity."
CP-0010,averia_pool,PY2,.NA,.NA,.NA,.NA,.NA,ai,inapplicable: PY0 is collective-good. The limit this cell first exposed is now recorded structurally in PY0 rather than in prose.
CP-0011,averia_pool,PY3,.NA,.NA,.NA,.NA,.NA,ai,inapplicable: no individual draw to cap
